url,geometry
https://patch.com/feeds/aol/connecticut/northbranford,POINT (-72.7769 41.3646)
https://patch.com/feeds/aol/connecticut/northhaven,POINT (-72.85720000000001 41.3817)
https://patch.com/feeds/aol/connecticut/norwalk,POINT (-73.4225 41.1169)
https://patch.com/feeds/aol/connecticut/norwich,POINT (-72.08750000000001 41.5503)
https://patch.com/feeds/aol/connecticut/orange,POINT (-73.0273 41.2827)
https://patch.com/feeds/aol/connecticut/oxford-ct,POINT (-73.13509999999999 41.4313)
https://patch.com/feeds/aol/connecticut/ridgefield,POINT (-73.50230000000001 41.3065)
https://patch.com/feeds/aol/connecticut/rockyhill,POINT (-72.66330000000001 41.6571)
https://patch.com/feeds/aol/connecticut/shelton,POINT (-73.0822 41.3267)
https://patch.com/feeds/aol/connecticut/simsbury,POINT (-72.82559999999999 41.8729)
https://patch.com/feeds/aol/connecticut/southwindsor,POINT (-72.57340000000001 41.8352)
https://patch.com/feeds/aol/connecticut/southbury,POINT (-73.2332 41.4746)
https://patch.com/feeds/aol/connecticut/southington,POINT (-72.8802 41.6049)
https://patch.com/feeds/aol/connecticut/stafford-willington,POINT (-72.3032 41.9537)
https://patch.com/feeds/aol/connecticut/stamford,POINT (-73.55840000000001 41.1038)
https://patch.com/feeds/aol/connecticut/stonington,POINT (-71.9187 41.3706)
https://patch.com/feeds/aol/connecticut/stratford,POINT (-73.1306 41.2074)
https://patch.com/feeds/aol/connecticut/suffield,POINT (-72.6789 41.9944)
https://patch.com/feeds/aol/connecticut/thehaddams-killingworth,POINT (-72.49169999999999 41.449)
https://patch.com/feeds/aol/connecticut/thelymes,POINT (-72.30159999999999 41.3678)
https://patch.com/feeds/aol/connecticut/tolland,POINT (-72.3647 41.8786)
https://patch.com/feeds/aol/connecticut/trumbull,POINT (-73.20820000000001 41.26)
https://patch.com/feeds/aol/connecticut/vernon,POINT (-72.4606 41.8364)
https://patch.com/feeds/aol/connecticut/wallingford,POINT (-72.8038 41.4588)
https://patch.com/feeds/aol/connecticut/waterford,POINT (-72.1482 41.3692)
https://patch.com/feeds/aol/connecticut/westhartford,POINT (-72.7534 41.7669)
https://patch.com/feeds/aol/connecticut/westhaven,POINT (-72.9678 41.2739)
https://patch.com/feeds/aol/connecticut/weston-ct,POINT (-73.3548 41.2714)
https://patch.com/feeds/aol/connecticut/westport,POINT (-73.3476 41.1426)
https://patch.com/feeds/aol/connecticut/wethersfield,POINT (-72.6694 41.7011)
https://patch.com/feeds/aol/connecticut/wilton,POINT (-73.4401 41.207)
https://patch.com/feeds/aol/connecticut/windsor,POINT (-72.6738 41.8712)
https://patch.com/feeds/aol/connecticut/windsorlocks,POINT (-72.58969999999999 41.9105)
https://patch.com/feeds/aol/connecticut/woodbury-middlebury,POINT (-73.1737 41.5524)
https://patch.com/feeds/aol/delaware/across-de,POINT (-75.5398 39.7391)
https://patch.com/feeds/aol/delaware/wilmington-de,POINT (-75.5398 39.7391)
https://patch.com/feeds/aol/district-columbia/georgetown,POINT (-77.0669 38.9105)
https://patch.com/feeds/aol/district-columbia/washingtondc,POINT (-77.0164 38.9047)
https://patch.com/feeds/aol/florida/across-fl,POINT (-81.6557 30.3322)
https://patch.com/feeds/aol/florida/aventura,POINT (-80.1392 25.9565)
https://patch.com/feeds/aol/florida/bloomingdale,POINT (-82.2594 27.8759)
https://patch.com/feeds/aol/florida/boca-raton,POINT (-80.1289 26.3683)
https://patch.com/feeds/aol/florida/bradenton,POINT (-82.4876 27.4592)
https://patch.com/feeds/aol/florida/brandon,POINT (-82.29819999999999 27.9453)
https://patch.com/feeds/aol/florida/carrollwood,POINT (-82.5089 28.0757)
https://patch.com/feeds/aol/florida/clearwater,POINT (-82.73139999999999 27.9509)
https://patch.com/feeds/aol/florida/coralgables-coconutgrove,POINT (-80.2684 25.7215)
https://patch.com/feeds/aol/florida/dunedin,POINT (-82.77290000000001 28.0287)
https://patch.com/feeds/aol/florida/eastlake,POINT (-82.6842 28.1163)
https://patch.com/feeds/aol/florida/fort-myers,POINT (-81.8723 26.6406)
https://patch.com/feeds/aol/florida/gulfport,POINT (-82.6998 27.7503)
https://patch.com/feeds/aol/florida/jacksonville,POINT (-81.6557 30.3322)
https://patch.com/feeds/aol/florida/lakeland,POINT (-81.9498 28.0395)
https://patch.com/feeds/aol/florida/landolakes,POINT (-82.4457 28.2621)
https://patch.com/feeds/aol/florida/largo,POINT (-82.7851 27.8845)
https://patch.com/feeds/aol/florida/lutz,POINT (-82.4717 28.1481)
https://patch.com/feeds/aol/florida/miami,POINT (-80.1918 25.7617)
https://patch.com/feeds/aol/florida/miamibeach,POINT (-80.13 25.7907)
https://patch.com/feeds/aol/florida/newportrichey,POINT (-82.6716 28.2443)
https://patch.com/feeds/aol/florida/newtampa,POINT (-82.349 28.138)
https://patch.com/feeds/aol/florida/orlando,POINT (-81.3792 28.5383)
https://patch.com/feeds/aol/florida/palmharbor,POINT (-82.74939999999999 28.0834)
https://patch.com/feeds/aol/florida/palmettobay-cutler,POINT (-80.3248 25.6218)
https://patch.com/feeds/aol/florida/pensacola,POINT (-87.2169 30.4213)
https://patch.com/feeds/aol/florida/pinecrest,POINT (-80.307 25.6623)
https://patch.com/feeds/aol/florida/pinellasbeaches,POINT (-82.798 27.858)
